OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312653"",""PAR-19-184"")",Biology of Bladder Cancer (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/05/2019,05/07/2022,02/05/2019 13:33:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312648"",""PAR-19-183"")",Biology of Bladder Cancer (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/05/2019,05/07/2022,02/05/2019 13:44:05,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312638"",""NOT-CA-19-016"")",Notice of Intent to Publish: Cellular Cancer Biology Imaging Research (CCBIR) Program (UM1 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,12000000,4,"Michael Graham Espey, Ph.D.",240-276-7619,SP@nih.gov,03/01/2019,07/30/2019,02/05/2019,,12/05/2019 11:24:05,Forecast 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312407"",""PAR-19-176"")",Methods Development for Cryogenic or Other Long-term Preservation and Revival of Drosophila and Zebrafish Genetic Stocks (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/29/2019,05/07/2022,01/29/2019 12:03:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312404"",""PAR-19-173"")",Achieving Tissue Robustness Through Harnessing Immune System Plasticity (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/29/2019,05/07/2022,01/29/2019 10:32:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312405"",""PAR-19-172"")",Achieving Tissue Robustness Through Harnessing Immune System Plasticity (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/29/2019,05/07/2022,01/29/2019 10:43:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312434"",""7200AA19APS00001"")",Local Organizations Network Project (LON),USAID,Agency for International Development,,,LON@usaid.gov,,LON@usaid.gov,,,01/29/2019,02/26/2021,02/26/2020 11:09:26,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312353"",""PAR-19-171"")",Comparative Effectiveness Research in Clinical Neurosciences (UG3/UH3 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/28/2019,01/07/2022,01/28/2019 09:29:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312273"",""RFA-HL-20-012"")",NHLBI Emerging Investigator Award (EIA) (R35 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/25/2019,04/15/2021,01/25/2019 11:34:25,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312258"",""RFA-HL-20-011"")",NHLBI Outstanding Investigator Award (OIA) (R35 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/25/2019,04/15/2021,01/24/2019 14:45:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312243"",""RFA-CA-19-032"")",Provocative Questions (PQs) in Cancer with an Underlying HIV Infection (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/24/2019,08/03/2020,01/24/2019 11:50:24,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=312215"",""PA-19-166"")",Implementation of shared decision making for HLBS diseases and conditions (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/22/2019,05/07/2022,04/18/2019 12:42:18,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311893"",""PAR-19-163"")",Accelerating the Pace of Child Health Research Using Existing Data from the Adolescent Brain Cognitive Development (ABCD) Study (R21-Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/09/2019,09/07/2021,01/09/2019 12:25:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311873"",""PAR-19-162"")",Accelerating the Pace of Child Health Research Using Existing Data from the Adolescent Brain Cognitive Development (ABCD) Study (R01-Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/09/2019,09/07/2021,01/09/2019 11:58:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311854"",""PAR-19-155"")",NHLBI Clinical Trial Pilot Studies (R34 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2021,01/08/2019 09:22:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311860"",""PAR-19-153"")",End-of-Life and Palliative Needs of Adolescents and Young Adults (AYA) with Serious Illnesses (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 10:58:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311840"",""PAR-19-145"")",NIDCR Small Research Grants for Oral Health Data Analysis and Statistical Methodology Development (R03 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 09:32:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311846"",""PAR-19-161"")","NIDCR Mentored Career Development Award to Promote Diversity in the Dental, Oral and Craniofacial Workforce (K01 Independent Basic Experimental Studies with Humans Required)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 11:55:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311847"",""PAR-19-160"")","NIDCR Mentored Career Development Award to Promote Diversity in the Dental, Oral and Craniofacial Workforce (K01 Independent Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 11:59:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311861"",""PAR-19-151"")",NIDCR Dentist Scientist Career Transition Award for Intramural Investigators (K22 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 12:09:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311845"",""PAR-19-152"")",NIDCR Dentist Scientist Career Transition Award for Intramural Investigators (K22 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 11:53:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311857"",""PAR-19-149"")",Exploratory/Developmental Bioengineering Research Grants (EBRG) (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 10:25:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311856"",""PAR-19-150"")",Exploratory/Developmental Bioengineering Research Grants (EBRG) (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 10:22:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311855"",""PAR-19-159"")",Bioengineering Research Grants (BRG) (R01 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,05/07/2021,01/08/2019 10:02:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311858"",""PAR-19-156"")",Bioengineering Research Partnerships (U01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 10:26:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311859"",""PAR-19-157"")",Bioengineering Research Partnerships (U01 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 10:42:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311841"",""PAR-19-158"")",Bioengineering Research Grants (BRG) (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 09:51:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311853"",""PAR-19-146"")",Drug Discovery For Nervous System Disorders (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 08:48:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311842"",""PAR-19-147"")",Drug Discovery For Nervous System Disorders (R01 Clinical Trials Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,01/08/2019,01/07/2022,01/08/2019 09:54:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311734"",""NOT-OD-19-042"")","Notice of Intent to Publish Funding Opportunity Announcements for Research to Develop, Demonstrate, and Validate Experimental Human Tissue Models that Do Not Rely on Human Fetal Tissue",HHS-NIH11,National Institutes of Health,,," NIH Office of the Director
 ",,OD-Models@nih.gov,,,01/03/2019,,12/05/2019 11:24:05,Forecast 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311735"",""NOT-HD-18-021"")",Notice of Intent to Publish a Funding Opportunity Announcement for Antenatal Opioid Exposure Longitudinal Study Consortium (PL1 Clinical Trials Not Allowed),HHS-NIH11,National Institutes of Health,11000000,1,"Rosemary D. Higgins, M.D.",301-435-7909,higginsr@mail.nih.gov,01/04/2019,03/29/2019,01/03/2019,,12/05/2019 11:24:05,Forecast 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311604"",""PAR-19-143"")",NIDCD Research Career Enhancement Award for Established Investigators (K18 Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,600000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/28/2018,01/07/2021,12/28/2018 13:02:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311613"",""PAR-19-141"")",NIDCR Dual Degree Dentist Scientist Pathway to Independence Award  (K99/R00 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/28/2018,01/07/2022,12/28/2018 12:22:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311603"",""PAR-19-144"")",NIDCR Dual Degree Dentist Scientist Pathway to Independence Award (K99/R00 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/28/2018,01/07/2022,12/28/2018 12:19:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311614"",""PAR-19-142"")",NIDCD Mentored Career Development Award for Postdoctorate Au.D./Ph.D. Audiologists (K01 Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/28/2018,01/07/2021,12/28/2018 12:48:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311574"",""PAR-19-137"")",NIDCD Clinical Research Center Grant (P50  Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/26/2018,10/06/2021,12/26/2018 13:33:26,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311488"",""PAR-19-133"")",Academic Research Enhancement Award for Undergraduate-Focused Institutions (R15 - Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/21/2018,01/07/2021,12/21/2018 10:37:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311490"",""PAR-19-136"")",End-of-Life and Palliative Needs of Adolescents and Young Adults (AYA) with Serious Illnesses (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/21/2018,01/07/2022,12/21/2018 11:07:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311519"",""PAR-19-134"")",Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (R15 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/21/2018,01/07/2022,12/21/2018 12:04:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311502"",""PAR-19-135"")",Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (R15 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/21/2018,01/07/2022,12/21/2018 11:38:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311440"",""PA-19-132"")",Independent Scientist Award (Parent K02 - Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/20/2018,01/07/2022,12/20/2018 14:09:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311439"",""PA-19-131"")",Independent Scientist Award (Parent K02 - Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/20/2018,01/07/2022,12/20/2018 14:08:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311454"",""FOA-RVK-2019-0001"")",AFRL RV-RD Assistance Instruments Announcement,DOD-AFRL-AFRLDET8,AFRL DET 8,,100,"Deborah Moyer
Grant Officer
Phone:(505) 853-3306",,deborah.moyer@us.af.mil,,,12/20/2018,12/19/2023,08/08/2019 09:30:08,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311429"",""DE-FOA-0001954"")",SOLICITATION ON TOPICS INFORMING NEW PROGRAM AREAS SBIR/STTR,DOE-ARPAE,Advanced Research Projects Agency Energy ,59250000,63,"ARPA-E Contracting Officer 
arpa-e-co@hq.doe.gov",,arpa-e-co@hq.doe.gov,,,12/20/2018,09/30/2022,04/02/2020 14:14:02,Synopsis 10,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311427"",""DE-FOA-0001953"")",SOLICITATION ON TOPICS INFORMING NEW PROGRAM AREAS,DOE-ARPAE,Advanced Research Projects Agency Energy ,59250000,45,"ARPA-E Contracting Officer 
arpa-e-co@hq.doe.gov",,arpa-e-co@hq.doe.gov,,,12/20/2018,09/30/2022,04/02/2020 14:10:02,Synopsis 12,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311317"",""PAR-19-113"")",Cancer Tissue Engineering Collaborative: Enabling Biomimetic Tissue-Engineered Technologies for Cancer Research (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/17/2018,01/07/2022,12/17/2018 11:01:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311316"",""PAS-19-105"")",Stimulating Hematology Investigation: New Endeavors (SHINE) (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,3000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/17/2018,01/07/2022,12/17/2018 10:45:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311318"",""PA-19-111"")",Improving Outcomes in Cancer Treatment-Related Cardiotoxicity (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/17/2018,01/07/2022,12/17/2018 11:21:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311319"",""PA-19-112"")",Improving Outcomes in Cancer Treatment-Related Cardiotoxicity (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/17/2018,01/07/2022,12/17/2018 11:32:17,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311127"",""N00244-19-S-F001"")","FY19-FY20 Department of Defense HIV/AIDS Prevention Program: Military Specific HIV/AIDS Prevention, Care, and Treatment Program for Non-PEPFAR (President's Emergency Plan for AID Relief) Funded Countries",DOD-ONR-SUP,Naval Supply Systems Command,,,"Janet Norton
Contract and Grant Officer",,janet.norton@navy.mil,,,12/13/2018,09/30/2020,02/18/2020 15:57:18,Synopsis 9,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311067"",""PAR-19-100"")",Limited Competition: Clinical and Translational Science Award (CTSA) Program: Exploratory Collaborative Innovation Awards (R21 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/12/2018,11/09/2021,12/12/2018 10:07:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311066"",""PAR-19-099"")","Limited Competition: Clinical and Translational Science Award (CTSA) Program: Collaborative Innovation Award, (U01 Clinical Trial Optional)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/12/2018,11/09/2021,12/12/2018 10:05:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311113"",""PAR-19-101"")",Physical Sciences-Oncology Network (PS-ON): Physical Sciences-Oncology Projects (PS-OP) (U01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/12/2018,07/30/2020,12/12/2018 09:06:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311114"",""PAR-19-102"")",Graduate Research Training Initiative for Student Enhancement (G-RISE) (T32),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/12/2018,05/21/2021,12/12/2018 09:26:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=311093"",""PAR-19-098"")",Emerging Global Leader Award (K43 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/11/2018,11/04/2020,12/11/2018 10:20:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310965"",""RFA-DA-19-020"")",HEAL Initiative: Americas Startups and Small Businesses Build Technologies to Stop the Opioid Epidemic (R41/R42 - Clinical Trial Optional),HHS-NIH11,National Institutes of Health,3000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/10/2018,09/08/2021,12/10/2018 12:01:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310964"",""RFA-DA-19-019"")",HEAL Initiative: Americas Startups and Small Businesses Build Technologies to Stop the Opioid Epidemic (R43/R44 - Clinical Trial Optional),HHS-NIH11,National Institutes of Health,7000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,12/10/2018,09/08/2021,12/10/2018 11:52:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310894"",""72027919RFA00001"")",Request for Information (RFI) Inclusive Peace and Political Transition Processes Strengthened (PPTP),USAID-YEM,Yemen USAID-Sanaa,,,USAID Yemen Solicitations AO,+49-69-7535-2594,usaidyemensoliciations@usaid.gov,,01/07/2019,12/06/2018,,12/06/2018 09:22:06,Forecast 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310897"",""RFI-685-19-RGN"")",Resilient Governance in Niger (RGN),USAID-SEN,Senegal USAID-Dakar,,,"ABDULLAHI  SADIQ
A and A Specialist
Phone 221.338.794.000",,asadiq@usaid.gov,,,12/06/2018,,02/14/2019 04:01:14,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310842"",""NOT-HL-18-657"")",Notice of Intent to Publish a Funding Opportunity Announcement for Career Pathway to Independence in Blood Science Award for Physician Scientists (R00 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,1925000,5,"Lisbeth Welniak, PhD
 ",301-435-0050,Lis.Welniak@nih.gov  ,08/15/2020,01/15/2021,12/04/2018,,12/04/2018 00:00:04,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310677"",""19-540"")",Improving Undergraduate STEM Education: Hispanic-Serving Institutions,NSF,National Science Foundation,15000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,11/30/2018,09/16/2020,09/26/2019 01:01:26,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310678"",""19-539"")",NSF-CBMS Regional Research Conferences in the Mathematical Sciences,NSF,National Science Foundation,350000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,11/30/2018,06/26/2020,04/04/2020 01:00:04,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310653"",""PA-19-094"")","Emotion Regulation, Aging and Mental Disorder (R01 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/29/2018,01/07/2022,11/29/2018 11:03:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310673"",""PA-19-095"")","Emotion Regulation, Aging and Mental Disorder (R21 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/29/2018,01/07/2022,11/29/2018 11:26:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310674"",""PA-19-096"")",Control of Sexually Transmitted Infections (STIs) Through a Comprehensive Understanding of the Natural History of Infection (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/29/2018,01/07/2022,11/29/2018 11:46:29,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310641"",""PAR-19-093"")",Leveraging Health Information Technology (Health IT) to Address Minority Health and Health Disparities (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/28/2018,03/04/2021,11/28/2018 13:07:28,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=310637"",""PA-19-085"")",Independent Scientist Award (Parent K02 - Independent Basic Experimental Studies with Humans Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,11/28/2018,01/07/2022,11/28/2018 10:43:28,Synopsis 1,
